state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_LOOSEN,q_all_LOOSEN,q_half_A_LOOSEN,q_half_B_LOOSEN,prediction_TIGHTEN,q_all_TIGHTEN,q_half_A_TIGHTEN,q_half_B_TIGHTEN,prediction_BALANCED_LOG_RANDOM,q_all_BALANCED_LOG_RANDOM,q_half_A_BALANCED_LOG_RANDOM,q_half_B_BALANCED_LOG_RANDOM,prediction_THROUGHPUT_NEUTRAL_RANDOM,q_all_THROUGHPUT_NEUTRAL_RANDOM,q_half_A_THROUGHPUT_NEUTRAL_RANDOM,q_half_B_THROUGHPUT_NEUTRAL_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTP3C_THROUGHPUT_CONFIRMATION_V1-c02-m000-g020,02,0,20,40,24,43,940,0.5743078720516033,0.59375,0.5625,0.625,0.5128102887252908,0.4375,0.5,0.375,0.527776004105116,0.4375,0.5,0.375,0.4947214731790356,0.40625,0.5,0.3125,0.5547481736575307,0.53125,0.4375,0.625
INTP3C_THROUGHPUT_CONFIRMATION_V1-c02-m000-g035,02,0,35,40,19,40,1670,0.5384718260304681,0.34375,0.25,0.4375,0.43824809863818015,0.0,0.0,0.0,0.36980578524868074,0.53125,0.5625,0.5,0.3882530566148482,0.46875,0.375,0.5625,0.4940206755681021,0.09375,0.0625,0.125
INTP3C_THROUGHPUT_CONFIRMATION_V1-c02-m000-g050,02,0,50,40,22,60,2292,0.47597196914518664,0.5625,0.5625,0.5625,0.4016197783997359,0.4375,0.4375,0.4375,0.4333785025817159,0.5625,0.6875,0.4375,0.39148927924099125,0.3125,0.25,0.375,0.4448130685213329,0.59375,0.625,0.5625
INTP3C_THROUGHPUT_CONFIRMATION_V1-c02-m000-g060,02,0,60,40,14,33,2699,0.454054983119593,0.4375,0.5,0.375,0.3692203889089808,0.28125,0.125,0.4375,0.4517498318257851,0.40625,0.5,0.3125,0.24296468641005395,0.25,0.3125,0.1875,0.41820075472506024,0.28125,0.125,0.4375
INTP3C_THROUGHPUT_CONFIRMATION_V1-c02-m000-g065,02,0,65,40,19,23,2898,0.42448787441746466,0.15625,0.0625,0.25,0.3512674826955331,0.25,0.25,0.25,0.36300838493693,0.21875,0.25,0.1875,0.22610098527761413,0.40625,0.375,0.4375,0.3936749789958464,0.28125,0.1875,0.375
INTP3C_THROUGHPUT_CONFIRMATION_V1-c02-m000-g080,02,0,80,40,20,67,3574,0.5788054063437832,0.5,0.5625,0.4375,0.49329354417975513,0.28125,0.3125,0.25,0.5358398011670027,0.46875,0.5625,0.375,0.44014134097862634,0.5625,0.5,0.625,0.545994482493843,0.46875,0.5625,0.375
INTP3C_THROUGHPUT_CONFIRMATION_V1-c03-m000-g020,03,0,20,41,23,32,800,0.6325910870100802,0.78125,0.8125,0.75,0.571098763218597,0.625,0.5,0.75,0.5970333086923959,0.625,0.5,0.75,0.7743762503491436,0.71875,0.625,0.8125,0.6072175631066167,0.59375,0.75,0.4375
INTP3C_THROUGHPUT_CONFIRMATION_V1-c03-m000-g035,03,0,35,41,18,21,1311,0.5621440926227947,0.71875,0.75,0.6875,0.484431600994746,0.5625,0.6875,0.4375,0.478919284258412,0.53125,0.625,0.4375,0.6081651183642809,0.65625,0.75,0.5625,0.5258649791133129,0.625,0.5625,0.6875
INTP3C_THROUGHPUT_CONFIRMATION_V1-c03-m000-g050,03,0,50,53,23,39,1836,0.5901457261029134,0.75,0.75,0.75,0.5107476421883707,0.40625,0.5625,0.25,0.5328694121048858,0.375,0.4375,0.3125,0.7327155256174682,0.8125,0.875,0.75,0.5539397661251224,0.625,0.5625,0.6875
INTP3C_THROUGHPUT_CONFIRMATION_V1-c03-m000-g060,03,0,60,36,19,41,2226,0.662255157161297,0.75,0.75,0.75,0.5906663575751041,0.65625,0.75,0.5625,0.6206604912493593,0.8125,0.75,0.875,0.7259675361673876,0.78125,0.8125,0.75,0.6297645213920388,0.65625,0.6875,0.625
