candidate,branch_half,matrix_id,strength_tighten_minus_loosen,topology_minus_noop
02,A,0,0.0,0.0
02,A,1,0.0,-0.078125
02,A,2,0.0625,0.0
02,A,3,0.020833333333333332,0.020833333333333332
02,A,4,0.0,0.0
02,A,5,0.125,-0.15
02,A,6,0.09375,-0.09375
02,A,8,0.046875,-0.03125
02,A,10,0.0,0.0
02,A,11,0.078125,-0.046875
02,A,12,0.03125,-0.09375
02,A,13,0.0625,-0.0625
02,A,18,0.0625,-0.05
02,A,19,0.075,-0.025
02,A,20,0.175,-0.0375
02,A,21,0.0625,-0.1375
02,A,22,0.03125,-0.03125
02,A,23,0.0,0.0
02,A,24,0.0625,-0.0625
02,A,25,-0.0625,0.0
02,A,26,0.0875,0.05
02,A,27,0.225,0.05
02,A,28,0.109375,0.03125
02,A,29,0.0,-0.020833333333333332
02,A,30,0.0,0.09375
02,A,32,0.0,-0.03125
02,A,33,-0.025,0.0125
02,A,34,0.0,-0.0625
02,A,36,0.35,-0.025
02,A,37,0.21875,-0.0625
02,A,39,-0.09375,-0.09375
02,A,41,0.046875,-0.09375
02,A,42,0.020833333333333332,-0.0625
02,A,43,0.125,-0.0375
02,A,44,0.09375,-0.09375
02,A,45,0.015625,-0.0625
02,A,47,0.08333333333333333,-0.20833333333333334
02,A,50,0.15,-0.2125
02,A,51,0.03125,-0.046875
02,A,52,0.0,-0.08333333333333333
02,A,53,0.025,0.05
02,A,54,0.0,0.0
02,A,55,0.03125,0.0
02,A,56,0.21875,-0.03125
02,A,57,0.0625,-0.03125
02,A,58,0.0625,0.03125
02,A,59,0.0625,-0.140625
02,A,61,0.125,-0.0625
02,A,62,0.025,-0.1125
02,A,63,0.0,-0.03125
02,A,64,0.0,0.0
02,A,65,0.0625,-0.140625
02,A,66,0.0,-0.03125
02,A,67,0.03125,0.0
02,A,68,0.03125,-0.03125
02,A,69,0.0,0.041666666666666664
02,A,70,0.15625,-0.1875
02,A,71,0.05,-0.05
02,A,72,0.0,0.0
02,A,73,0.1625,0.05
02,A,74,0.0,0.0
02,A,75,0.020833333333333332,0.0
02,A,76,-0.09375,0.0625
02,A,77,0.15625,-0.03125
02,A,78,-0.015625,0.0
02,A,79,0.020833333333333332,-0.10416666666666667
02,A,80,0.0,-0.0625
02,A,82,0.0625,0.0625
02,A,83,-0.0625,0.0
02,A,85,0.0,-0.041666666666666664
02,A,86,0.0,-0.041666666666666664
02,A,87,0.171875,-0.1875
02,A,89,0.020833333333333332,0.0
02,A,90,0.0,-0.0625
02,A,92,0.015625,-0.078125
02,A,95,0.0,-0.1125
02,A,96,0.109375,-0.078125
02,A,97,0.0,0.0
02,A,98,-0.03125,-0.0625
02,A,99,0.1125,-0.1375
02,A,100,0.09375,0.03125
02,A,102,0.0,-0.140625
02,A,104,0.0,0.0
02,A,105,0.0,0.0
02,A,106,0.025,0.0
02,A,107,0.2375,0.075
02,A,108,0.0,0.0
02,A,109,0.03125,0.0
02,A,110,0.03125,-0.03125
02,A,112,0.0,0.0
02,A,113,0.025,-0.1875
02,A,114,0.020833333333333332,0.041666666666666664
02,A,115,0.041666666666666664,-0.020833333333333332
02,A,116,0.03125,0.0
02,A,118,0.0,-0.09375
02,A,119,0.020833333333333332,0.020833333333333332
02,A,120,0.175,0.05
