cell,candidate,branch_half,matrix_id,topology_minus_noop
c02_A,02,A,0,0.05625
c02_A,02,A,1,0.1125
c02_A,02,A,2,0.0
c02_A,02,A,3,-0.05625
c02_A,02,A,4,-0.10625
c02_A,02,A,5,-0.00625
c02_A,02,A,6,0.1375
c02_A,02,A,7,-0.1375
c02_A,02,A,8,-0.18125
c02_A,02,A,9,0.175
c02_A,02,A,10,0.025
c02_A,02,A,11,0.025
c02_A,02,A,12,0.0125
c02_A,02,A,13,0.00625
c02_A,02,A,14,0.04375
c02_A,02,A,15,-0.04375
c02_A,02,A,16,0.0
c02_A,02,A,17,0.05
c02_A,02,A,18,0.0625
c02_A,02,A,19,-0.14375
c02_A,02,A,20,-0.0625
c02_A,02,A,21,-0.025
c02_A,02,A,22,-0.025
c02_A,02,A,23,0.0625
c02_A,02,A,24,0.06875
c02_A,02,A,25,-0.0625
c02_A,02,A,26,0.21875
c02_A,02,A,27,-0.03125
c02_A,02,A,28,0.025
c02_A,02,A,29,-0.13125
c02_A,02,A,30,0.03125
c02_A,02,A,31,0.0375
c02_A,02,A,32,-0.01875
c02_A,02,A,33,0.05
c02_A,02,A,34,-0.125
c02_A,02,A,35,0.06875
c02_A,02,A,36,-0.10625
c02_A,02,A,37,0.13125
c02_A,02,A,38,-0.10625
c02_A,02,A,39,0.03125
c02_A,02,A,40,-0.09375
c02_A,02,A,41,0.0
c02_A,02,A,42,0.05625
c02_A,02,A,43,-0.075
c02_A,02,A,44,0.0125
c02_A,02,A,45,0.16875
c02_A,02,A,46,0.0625
c02_A,02,A,47,0.06875
c02_A,02,A,48,0.0375
c02_A,02,A,49,0.24375
c02_A,02,A,50,0.04375
c02_A,02,A,51,0.0125
c02_A,02,A,52,0.06875
c02_A,02,A,53,0.31875
c02_A,02,A,54,0.0
c02_A,02,A,55,0.01875
c02_A,02,A,56,0.0125
c02_A,02,A,57,0.01875
c02_A,02,A,58,0.0125
c02_A,02,A,59,0.0125
c02_A,02,A,60,0.03125
c02_A,02,A,61,-0.0375
c02_A,02,A,62,-0.1
c02_A,02,A,63,0.0
c02_A,02,A,64,0.01875
c02_A,02,A,65,0.0625
c02_A,02,A,66,0.10625
c02_A,02,A,67,0.09375
c02_A,02,A,68,0.0
c02_A,02,A,69,-0.0375
c02_A,02,A,70,0.05625
c02_A,02,A,71,0.08125
c02_A,02,A,72,-0.1125
c02_A,02,A,73,0.00625
c02_A,02,A,74,0.0
c02_A,02,A,75,0.05
c02_A,02,A,76,-0.0875
c02_A,02,A,77,-0.025
c02_A,02,A,78,-0.05
c02_A,02,A,79,-0.2
c02_A,02,A,80,0.00625
c02_A,02,A,81,0.0
c02_A,02,A,82,-0.0375
c02_A,02,A,83,0.0
c02_A,02,A,84,0.05
c02_A,02,A,85,-0.1
c02_A,02,A,86,0.00625
c02_A,02,A,87,0.0625
c02_A,02,A,88,0.03125
c02_A,02,A,89,0.03125
c02_A,02,A,90,0.0875
c02_A,02,A,91,-0.025
c02_A,02,A,92,0.0
c02_A,02,A,93,-0.1375
c02_A,02,A,94,0.05
c02_A,02,A,95,-0.0125
c02_A,02,A,96,0.025
c02_A,02,A,97,0.06875
c02_A,02,A,98,0.075
c02_A,02,A,99,0.06875
c02_A,02,A,100,0.0
c02_A,02,A,101,0.0125
c02_A,02,A,102,-0.1
c02_A,02,A,103,0.075
c02_A,02,A,104,0.0625
